         353753155 function calls (351787173 primitive calls) in 56032.253 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1 42593.901 42593.901 42617.337 42617.337 {built-in method exec_}
    30000 13208.960    0.440 13386.685    0.446 bmm.py:33(step)
     3762    0.003    0.000    0.003    0.000 {built-in method builtins.abs}
      482    0.003    0.000    0.150    0.000 patches.py:258(get_transform)
    30236    0.003    0.000    0.003    0.000 fromnumeric.py:2633(_amax_dispatcher)
      286    0.003    0.000    0.019    0.000 posixpath.py:397(_joinrealpath)
      461    0.003    0.000    0.009    0.000 patches.py:783(_convert_units)
  924/181    0.003    0.000    0.007    0.000 sre_compile.py:71(_compile)
      436    0.003    0.000    0.281    0.001 backend_bases.py:1964(<listcomp>)
      494    0.003    0.000    0.003    0.000 {built-in method devicePixelRatioF}
      436    0.003    0.000    0.008    0.000 patches.py:111(_process_radius)
      461    0.003    0.000    0.040    0.000 transforms.py:1957(rotate_deg_around)
    32503    0.003    0.000    0.003    0.000 {method 'lstrip' of 'str' objects}
      444    0.003    0.000    0.005    0.000 figure.py:65(as_list)
5219/4194    0.003    0.000    0.005    0.000 artist.py:213(stale)
     2180    0.003    0.000    0.020    0.000 transforms.py:1715(transform)
     6761    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
     1626    0.003    0.000    0.008    0.000 transforms.py:2151(transform_non_affine)
    39/34    0.003    0.000    0.004    0.000 backend_pdf.py:291(<listcomp>)
    23768    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
      922    0.003    0.000    0.003    0.000 font_manager.py:1192(score_stretch)
      463    0.003    0.000    0.009    0.000 transforms.py:2511(__init__)
      764    0.003    0.000    0.007    0.000 transforms.py:2119(__init__)
       28    0.003    0.000    0.014    0.000 __init__.py:794(_rc_params_in_file)
      430    0.003    0.000    0.003    0.000 backend_bases.py:2944(_update_cursor)
      528    0.003    0.000    0.027    0.000 <__array_function__ internals>:2(reshape)
  726/692    0.003    0.000    0.016    0.000 inspect.py:2246(_signature_from_callable)
      381    0.003    0.000    0.309    0.001 _base.py:3696(format_coord)
7461/7457    0.002    0.000    0.003    0.000 {method 'join' of 'str' objects}
 1336/869    0.002    0.000    0.007    0.000 backend_pdf.py:242(pdfRepr)
     2127    0.002    0.000    0.003    0.000 {built-in method builtins.max}
     2076    0.002    0.000    0.004    0.000 inspect.py:2498(__init__)
      903    0.002    0.000    0.015    0.000 {method 'max' of 'numpy.ndarray' objects}
     1596    0.002    0.000    0.002    0.000 {built-in method math.log10}
     4395    0.002    0.000    0.007    0.000 abc.py:117(__instancecheck__)
      494    0.002    0.000    0.005    0.000 qt_compat.py:190(_devicePixelRatioF)
     2463    0.002    0.000    0.034    0.000 re.py:289(_compile)
     1032    0.002    0.000    0.021    0.000 transforms.py:1267(__add__)
      150    0.002    0.000    0.045    0.000 text.py:268(_get_layout)
      401    0.002    0.000    0.013    0.000 fromnumeric.py:2367(all)
      922    0.002    0.000    0.006    0.000 font_manager.py:1131(score_family)
      436    0.002    0.000    0.002    0.000 backend_bases.py:1339(_update_enter_leave)
      276    0.002    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:916(get_code)
      144    0.002    0.000    0.032    0.000 lines.py:734(draw)
      762    0.002    0.000    0.003    0.000 inspect.py:2781(__init__)
      486    0.002    0.000    0.007    0.000 backend_qt5.py:250(_dpi_ratio)
      497    0.002    0.000    0.025    0.000 transforms.py:1937(rotate_deg)
     4980    0.002    0.000    0.002    0.000 artist.py:189(axes)
      108    0.002    0.000    0.033    0.000 text.py:667(draw)
      153    0.002    0.000    0.002    0.000 {built-in method _imp.source_hash}
      442    0.002    0.000    0.003    0.000 patches.py:757(get_path)
     8501    0.002    0.000    0.002    0.000 {function RcParams.__getitem__ at 0x7fbf21c55040}
      296    0.002    0.000    0.008    0.000 artist.py:972(update)
        8    0.002    0.000    0.002    0.000 {built-in method addAction}
     3084    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
      713    0.002    0.000    0.003    0.000 functools.py:35(update_wrapper)
      934    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
      762    0.002    0.000    0.002    0.000 axis.py:1367(get_major_formatter)
     3084    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
      341    0.002    0.000    0.030    0.000 <frozen importlib._bootstrap>:901(_find_spec)
     1992    0.002    0.000    0.005    0.000 {built-in method builtins.any}
      528    0.002    0.000    0.022    0.000 fromnumeric.py:198(reshape)
     5673    0.002    0.000    0.002    0.000 transforms.py:1741(get_affine)
     2574    0.002    0.000    0.008    0.000 posixpath.py:164(islink)
     1275    0.002    0.000    0.004    0.000 artist.py:165(convert_xunits)
      433    0.002    0.000    0.002    0.000 enum.py:443(__members__)
     6174    0.002    0.000    0.002    0.000 sre_parse.py:164(__getitem__)
      401    0.002    0.000    0.016    0.000 <__array_function__ internals>:2(all)
       45    0.002    0.000    0.002    0.000 {built-in method matplotlib._path.convert_to_string}
    10741    0.002    0.000    0.003    0.000 mathtext.py:2839(<genexpr>)
 1102/361    0.002    0.000    0.002    0.000 sre_parse.py:174(getwidth)
     2387    0.002    0.000    0.032    0.000 inspect.py:607(getdoc)
      922    0.002    0.000    0.002    0.000 font_manager.py:1154(<listcomp>)
      552    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
     5089    0.002    0.000    0.002    0.000 sre_parse.py:233(__next)
     5187    0.002    0.000    0.002    0.000 {built-in method builtins.setattr}
        1    0.002    0.002    0.002    0.002 {built-in method ttconv.get_pdf_charprocs}
     2841    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x7fbf65d33900}
     2715    0.002    0.000    0.002    0.000 {method 'expandtabs' of 'str' objects}
      286    0.002    0.000    0.002    0.000 posixpath.py:334(normpath)
      530    0.002    0.000    0.028    0.000 transforms.py:2342(transform_affine)
      587    0.001    0.000    0.002    0.000 font_manager.py:736(__hash__)
       12    0.001    0.000    0.022    0.002 artist.py:1337(get_setters)
        5    0.001    0.000    0.004    0.001 decoder.py:343(raw_decode)
   348/10    0.001    0.000    0.358    0.036 <frozen importlib._bootstrap>:1002(_find_and_load)
      240    0.001    0.000    0.002    0.000 sre_compile.py:276(_optimize_charset)
       68    0.001    0.000    0.006    0.000 lines.py:650(recache)
      686    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
       37    0.001    0.000    0.003    0.000 {built-in method builtins.eval}
    14358    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
       34    0.001    0.000    0.001    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
      443    0.001    0.000    0.006    0.000 figure.py:415(get_axes)
  568/116    0.001    0.000    0.203    0.002 deprecation.py:384(wrapper)
     2469    0.001    0.000    0.005    0.000 enum.py:358(__call__)
      830    0.001    0.000    0.002    0.000 __init__.py:2045(_setattr_cm)
      441    0.001    0.000    0.001    0.000 backend_bases.py:1222(__init__)
      551    0.001    0.000    0.002    0.000 transforms.py:1041(get_points)
      397    0.001    0.000    0.003    0.000 colors.py:197(_to_rgba_no_colorcycle)
      714    0.001    0.000    0.002    0.000 artist.py:367(get_transform)
      274    0.001    0.000    0.002    0.000 __init__.py:2219(_check_isinstance)
      903    0.001    0.000    0.013    0.000 _methods.py:38(_amax)
     1111    0.001    0.000    0.007    0.000 colors.py:161(to_rgba)
   331/11    0.001    0.000    0.355    0.032 <frozen importlib._bootstrap>:659(_load_unlocked)
       25    0.001    0.000    0.001    0.000 {built-in method builtins.dir}
  338/337    0.001    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
      331    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
       60    0.001    0.000    0.004    0.000 transforms.py:589(count_contains)
       66    0.001    0.000    0.009    0.000 lines.py:269(__init__)
     1153    0.001    0.000    0.001    0.000 {method 'values' of 'mappingproxy' objects}
      425    0.001    0.000    0.022    0.000 artist.py:1290(get_valid_values)
      437    0.001    0.000    0.001    0.000 patches.py:284(get_edgecolor)
      686    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:87(acquire)
     4598    0.001    0.000    0.006    0.000 {built-in method builtins.next}
    11779    0.001    0.000    0.001    0.000 inspect.py:2560(kind)
     4184    0.001    0.000    0.002    0.000 sre_parse.py:254(get)
    50/40    0.001    0.000    0.007    0.000 {built-in method _imp.exec_dynamic}
      535    0.001    0.000    0.002    0.000 transforms.py:2346(transform_non_affine)
      151    0.001    0.000    0.034    0.000 font_manager.py:1252(findfont)
      922    0.001    0.000    0.003    0.000 font_manager.py:1210(score_weight)
     1276    0.001    0.000    0.002    0.000 artist.py:177(convert_yunits)
       31    0.001    0.000    0.001    0.000 {built-in method io.open}
      459    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
       93    0.001    0.000    0.047    0.001 text.py:863(get_window_extent)
      429    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
     4245    0.001    0.000    0.002    0.000 posixpath.py:41(_get_sep)
      284    0.001    0.000    0.001    0.000 backend_pdf.py:97(fill)
    345/3    0.001    0.000    0.195    0.065 artist.py:33(draw_wrapper)
      612    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
   344/10    0.001    0.000    0.357    0.036 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      461    0.001    0.000    0.137    0.000 patches.py:791(get_patch_transform)
      984    0.001    0.000    0.003    0.000 font_manager.py:962(_json_decode)
      686    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:112(release)
       24    0.001    0.000    0.005    0.000 ticker.py:2214(_raw_ticks)
      529    0.001    0.000    0.001    0.000 contextlib.py:86(__init__)
        8    0.001    0.000    0.062    0.008 backend_qt5agg.py:23(paintEvent)
     1242    0.001    0.000    0.010    0.000 __init__.py:655(__setitem__)
     1554    0.001    0.000    0.002    0.000 posixpath.py:60(isabs)
      384    0.001    0.000    0.020    0.000 transforms.py:1500(get_matrix)
     1747    0.001    0.000    0.022    0.000 artist.py:1356(is_alias)
       32    0.001    0.000    0.001    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      155    0.001    0.000    0.001    0.000 artist.py:69(__init__)
  402/181    0.001    0.000    0.017    0.000 sre_parse.py:435(_parse_sub)
     1343    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
      176    0.001    0.000    0.002    0.000 __init__.py:1682(normalize_kwargs)
    594/1    0.001    0.000 56032.255 56032.255 {built-in method builtins.exec}
     7106    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       27    0.001    0.000    0.394    0.015 __init__.py:1(<module>)
     2683    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
       62    0.001    0.000    0.002    0.000 backend_pdf.py:2382(delta)
     1800    0.001    0.000    0.004    0.000 re.py:188(match)
  396/392    0.001    0.000    0.001    0.000 transforms.py:2320(__eq__)
      152    0.001    0.000    0.004    0.000 font_manager.py:680(__init__)
     1487    0.001    0.000    0.001    0.000 __init__.py:2254(_check_in_list)
     3342    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
        2    0.001    0.000    0.001    0.000 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      444    0.001    0.000    0.001    0.000 figure.py:69(<listcomp>)
       33    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
       20    0.001    0.000    0.003    0.000 enum.py:179(__new__)
       20    0.001    0.000    0.017    0.001 axis.py:56(__init__)
     1537    0.001    0.000    0.003    0.000 colors.py:124(_is_nth_color)
     2017    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
     1042    0.001    0.000    0.001    0.000 transforms.py:1691(<lambda>)
       12    0.001    0.000    0.017    0.001 artist.py:1262(get_aliases)
     2224    0.001    0.000    0.001    0.000 {built-in method builtins.iter}
      720    0.001    0.000    0.001    0.000 inspect.py:494(unwrap)
     3072    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      286    0.001    0.000    0.003    0.000 overrides.py:89(verify_matching_signatures)
       21    0.001    0.000    0.002    0.000 __init__.py:345(namedtuple)
     8272    0.001    0.000    0.001    0.000 inspect.py:2548(name)
      181    0.001    0.000    0.030    0.000 sre_compile.py:759(compile)
      552    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      631    0.001    0.000    0.001    0.000 {method 'write' of '_io.BufferedWriter' objects}
     2647    0.001    0.000    0.001    0.000 inspect.py:2830(<genexpr>)
     5252    0.001    0.000    0.001    0.000 artist.py:796(get_animated)
      381    0.001    0.000    0.001    0.000 __init__.py:2118(__iter__)
      411    0.001    0.000    0.002    0.000 copy.py:66(copy)
      316    0.001    0.000    0.019    0.000 overrides.py:183(decorator)
       12    0.001    0.000    0.043    0.004 axis.py:1016(_update_ticks)
     1577    0.001    0.000    0.001    0.000 {built-in method math.floor}
      135    0.001    0.000    0.010    0.000 font_manager.py:1411(get_font)
      181    0.001    0.000    0.003    0.000 sre_compile.py:536(_compile_info)
       34    0.001    0.000    0.001    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       70    0.001    0.000    0.009    0.000 __init__.py:1373(_preprocess_data)
      149    0.001    0.000    0.004    0.000 deprecation.py:168(deprecate)
   276/10    0.001    0.000    0.354    0.035 <frozen importlib._bootstrap_external>:844(exec_module)
       12    0.001    0.000    0.001    0.000 artist.py:1273(<listcomp>)
      583    0.001    0.000    0.001    0.000 transforms.py:1706(__array__)
      327    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
